Connecting to host 192.168.3.2, port 10021
[  6] local 192.168.2.2 port 40290 connected to 192.168.3.2 port 10021
[  6]  47.00-48.00  sec  0.00 Bytes  0.00 bits/sec    1   14.1 KBytes       
[  6]  48.00-49.00  sec  0.00 Bytes  0.00 bits/sec    3   18.3 KBytes       
[  6]  49.00-50.00  sec  0.00 Bytes  0.00 bits/sec    2   12.7 KBytes       
[  6]  50.00-51.00  sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[  6]  51.00-52.00  sec  0.00 Bytes  0.00 bits/sec    2   14.1 KBytes       
[  6]  52.00-53.00  sec  0.00 Bytes  0.00 bits/sec    1   18.3 KBytes       
[  6]  53.00-54.00  sec  0.00 Bytes  0.00 bits/sec    3   14.1 KBytes       
[  6]  54.00-55.00  sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  6]  55.00-56.00  sec  0.00 Bytes  0.00 bits/sec    1   15.5 KBytes       
[  6]  56.00-57.00  sec  0.00 Bytes  0.00 bits/sec    3   16.9 KBytes       
[  6]  57.00-58.00  sec  0.00 Bytes  0.00 bits/sec    1   16.9 KBytes       
[  6]  58.00-59.00  sec  0.00 Bytes  0.00 bits/sec    3   18.3 KBytes       
[  6]  59.00-60.00  sec  0.00 Bytes  0.00 bits/sec    1   18.3 KBytes       
[  6]  60.00-61.00  sec  0.00 Bytes  0.00 bits/sec    2   23.9 KBytes       
[  6]  61.00-62.00  sec  0.00 Bytes  0.00 bits/sec    5   38.0 KBytes       
[  6]  62.00-63.00  sec  0.00 Bytes  0.00 bits/sec    0   66.1 KBytes       
[  6]  63.00-64.00  sec  0.00 Bytes  0.00 bits/sec    5   66.1 KBytes       
[  6]  64.00-65.00  sec  0.00 Bytes  0.00 bits/sec   13   1.41 KBytes       
[  6]  65.00-66.00  sec  0.00 Bytes  0.00 bits/sec    8   30.9 KBytes       
[  6]  66.00-67.00  sec  0.00 Bytes  0.00 bits/sec    4   33.8 KBytes       
[  6]  67.00-68.00  sec  0.00 Bytes  0.00 bits/sec    4   26.7 KBytes       
[  6]  68.00-69.00  sec  0.00 Bytes  0.00 bits/sec    0   52.0 KBytes       
[  6]  69.00-70.00  sec  0.00 Bytes  0.00 bits/sec    0   81.6 KBytes       
[  6]  70.00-71.00  sec  0.00 Bytes  0.00 bits/sec    0    104 KBytes       
[  6]  71.00-72.00  sec  0.00 Bytes  0.00 bits/sec    0    121 KBytes       
